diagram_id,field_index,block_label_verbatim,first_byte,first_nibble,last_byte,last_nibble,pdf_page,visual_anchor,notes
D1,㉓,-,23,1,23,2,12,"Main strip p12, bottom row, fourth byte cell, under the free-standing circled numeral ㉓.",Drawn cells: row 3 cell 4. Both passes agree.
D1,㉔,-,24,1,24,2,12,"Main strip p12, bottom row, fifth byte cell, under the free-standing circled numeral ㉔.",Drawn cells: row 3 cell 5. Both passes agree.
D1,㉕,-,25,1,25,2,12,"Main strip p12, bottom row, sixth byte cell, under the free-standing circled numeral ㉕, immediately left of the ㉖ ~ ㊶ bracket.",Drawn cells: row 3 cell 6. Both passes agree.
D1,㉖ ~ ㊶,-,26,1,41,2,12,"Main strip p12, bottom row, from the seventh solid byte cell to the last solid byte cell of the row, under the bracket labelled ㉖ ~ ㊶ whose right tick falls at the row's right-hand end just before the outgoing arrow.",STOP 2. Drawn as 2 solid cells (row 3 cells 7 and 8) with a dotted-outline ellipsis cell between them; drawn solid-cell count 2 is fewer than the 16 bytes implied by the printed range. Extent read from the printed range numerals. Both passes agree on the drawing.
D2,㊷,For receiving an FM signal,42,1,42,2,13,"p13 left column, the 7-cell strip under the heading For receiving an FM signal; the first byte cell, immediately right of the incoming solid arrowhead, under the free-standing circled numeral ㊷.",STOP 1. Diagram-local cell ordinal 1 of 7 drawn solid cells; printed index is ㊷ (42). No ellipsis in this strip. Both passes agree.
D2,㊸ ~ ㊺,For receiving an FM signal,43,1,45,2,13,"p13 left column FM strip; the second, third and fourth byte cells, under the bracket labelled ㊸ ~ ㊺ whose right tick descends at the boundary between the fourth and fifth cells.",Diagram-local cell ordinals 2-4 of 7. Bracket measured to span exactly 3 drawn cells. Both passes agree.
D2,㊻ ~ ㊽,For receiving an FM signal,46,1,48,2,13,"p13 left column FM strip; the fifth, sixth and seventh (last) byte cells, under the bracket labelled ㊻ ~ ㊽ whose right tick falls at the right-hand end of the strip.",Diagram-local cell ordinals 5-7 of 7. Bracket measured to span exactly 3 drawn cells. Both passes agree.
D3,㊷,For receiving a P25 signal,42,1,42,2,13,"p13 right column, the 4-cell strip under the heading For receiving a P25 signal; the first byte cell, immediately right of the incoming solid arrowhead, under the free-standing circled numeral ㊷.",STOP 1. Diagram-local cell ordinal 1 of 4 drawn solid cells; printed index is ㊷ (42). No ellipsis in this strip. Both passes agree.
D3,㊸ ~ ㊺,For receiving a P25 signal,43,1,45,2,13,"p13 right column P25 strip; the second, third and fourth (last) byte cells, under the bracket labelled ㊸ ~ ㊺ whose right tick falls at the right-hand end of the strip.",Diagram-local cell ordinals 2-4 of 4. Bracket measured to span exactly 3 drawn cells. Both passes agree.
D4,㊷,For receiving a D-STAR signal,42,1,42,2,13,"p13 left column lower, the 2-cell strip under the heading For receiving a D-STAR signal; the first byte cell, immediately right of the incoming solid arrowhead, under the circled numeral ㊷.",STOP 1. Diagram-local cell ordinal 1 of 2 drawn solid cells; printed index is ㊷ (42). Both passes agree.
D4,㊸,For receiving a D-STAR signal,43,1,43,2,13,"p13 left column lower, D-STAR strip; the second (last) byte cell, under the circled numeral ㊸.",Diagram-local cell ordinal 2 of 2. Both passes agree.
D5,㊷,For receiving a dPMR signal,42,1,42,2,14,"p14 left column, the 8-cell strip under the heading For receiving a dPMR signal; the first byte cell, immediately right of the incoming solid arrowhead, under the free-standing circled numeral ㊷.",STOP 1. Diagram-local cell ordinal 1 of 8 drawn solid cells; printed index is ㊷ (42). No ellipsis in this strip. Both passes agree.
D5,"㊸, ㊹",For receiving a dPMR signal,43,1,44,2,14,"p14 left column dPMR strip; the second and third byte cells, under the bracket labelled ㊸, ㊹ (a pair, comma-separated) whose right tick descends at the boundary between the third and fourth cells.","Diagram-local cell ordinals 2-3 of 8. Bracket measured to span exactly 2 drawn cells, corroborating the comma (pair) reading rather than a range. Both passes agree."
D5,㊺,For receiving a dPMR signal,45,1,45,2,14,"p14 left column dPMR strip; the fourth byte cell, under the free-standing circled numeral ㊺, immediately right of the ㊸, ㊹ bracket.",Diagram-local cell ordinal 4 of 8. Both passes agree.
D5,㊻,For receiving a dPMR signal,46,1,46,2,14,"p14 left column dPMR strip; the fifth byte cell, under the free-standing circled numeral ㊻, immediately left of the ㊼ ~ ㊾ bracket.",Diagram-local cell ordinal 5 of 8. Both passes agree.
D5,㊼ ~ ㊾,For receiving a dPMR signal,47,1,49,2,14,"p14 left column dPMR strip; the sixth, seventh and eighth (last) byte cells, under the bracket labelled ㊼ ~ ㊾ whose right tick falls at the right-hand end of the strip.",Diagram-local cell ordinals 6-8 of 8. Bracket measured to span exactly 3 drawn cells. Both passes agree.
D6,㊷,For receiving an NXDN signal,42,1,42,2,14,"p14 right column, the 6-cell strip under the heading For receiving an NXDN signal; the first byte cell, immediately right of the incoming solid arrowhead, under the circled numeral ㊷.",STOP 1. Diagram-local cell ordinal 1 of 6 drawn solid cells; printed index is ㊷ (42). No ellipsis in this strip. Both passes agree.
D6,㊸,For receiving an NXDN signal,43,1,43,2,14,"p14 right column NXDN strip; the second byte cell, under the free-standing circled numeral ㊸.","Diagram-local cell ordinal 2 of 6. Printed as a single index with no bracket, unlike the dPMR and DCR strips which bracket ㊸, ㊹ as a pair. Both passes agree."
D6,㊹,For receiving an NXDN signal,44,1,44,2,14,"p14 right column NXDN strip; the third byte cell, under the free-standing circled numeral ㊹, immediately left of the ㊺ ~ ㊼ bracket.",Diagram-local cell ordinal 3 of 6. Both passes agree.
D6,㊺ ~ ㊼,For receiving an NXDN signal,45,1,47,2,14,"p14 right column NXDN strip; the fourth, fifth and sixth (last) byte cells, under the bracket labelled ㊺ ~ ㊼ whose right tick falls at the right-hand end of the strip.",Diagram-local cell ordinals 4-6 of 6. Bracket measured to span exactly 3 drawn cells. Both passes agree.
D7,㊷,For receiving a DCR signal,42,1,42,2,15,"p15 left column, the 7-cell strip under the heading For receiving a DCR signal; the first byte cell, immediately right of the incoming solid arrowhead, under the free-standing circled numeral ㊷.",STOP 1. Diagram-local cell ordinal 1 of 7 drawn solid cells; printed index is ㊷ (42). No ellipsis in this strip. Both passes agree.
D7,"㊸, ㊹",For receiving a DCR signal,43,1,44,2,15,"p15 left column DCR strip; the second and third byte cells, under the bracket labelled ㊸, ㊹ (a pair, comma-separated) whose right tick descends at the boundary between the third and fourth cells.","Diagram-local cell ordinals 2-3 of 7. Bracket measured to span exactly 2 drawn cells, corroborating the comma (pair) reading rather than a range. Both passes agree."
D7,㊺,For receiving a DCR signal,45,1,45,2,15,"p15 left column DCR strip; the fourth byte cell, under the free-standing circled numeral ㊺, between the ㊸, ㊹ bracket and the ㊻ ~ ㊽ bracket.",Diagram-local cell ordinal 4 of 7. Both passes agree.
D7,㊻ ~ ㊽,For receiving a DCR signal,46,1,48,2,15,"p15 left column DCR strip; the fifth, sixth and seventh (last) byte cells, under the bracket labelled ㊻ ~ ㊽ whose right tick falls at the right-hand end of the strip.",Diagram-local cell ordinals 5-7 of 7. Bracket measured to span exactly 3 drawn cells. Both passes agree.
