vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
set-record-name-with-space,15,-,15,-,01,9,manual_derived,11,"Section ""Command formats"", block ""Operating mode"" (""Command: 01, 04, 06""): cell 1 of the two-cell strip, and the table below it, column ""1 Receiving mode"", row ""01: USB"".",USB chosen from the printed mode table.
set-record-name-with-space,16,-,16,-,01,10,manual_derived,11,"Same ""Operating mode"" block: cell 2 of the strip, and the table column ""2 Filter setting"", row ""01: FIL1"".",FIL1 chosen from the printed filter column.
set-record-name-with-space,17,-,17,-,01,11,manual_derived,12,"Right column, block ""11 Data mode and tone type settings"": the two-nibble box; the LEFT nibble's leader runs down then right to ""0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3"" and the RIGHT nibble's shorter leader to ""0: OFF, 1: TONE, 2: TSQL"".",Left nibble 0 (data mode OFF) and right nibble 1 (TONE) chosen from the printed enumerations; leader order is reversed relative to label order and was followed by eye.
set-record-name-with-space,18,-,18,-,00,12,manual_documented,14,"Section ""Command formats"", block ""Repeater tone/tone squelch frequency settings"" (""Command: 1B 00, 1B 01""): cell 1*, printed ""0 | 0"", both rotated leaders reading ""Fixed digit: 0*"".",Both nibbles printed as 0. STOP 1
set-record-name-with-space,19,-,19,-,08,13,manual_derived,14,"Same ""Repeater tone/tone squelch frequency settings"" strip, cell 2, rotated leaders ""100Hz digit: 0-2"" and ""10 Hz digit: 0-9"".",Repeater tone 88.5 Hz chosen and encoded. Working in the .md.
set-record-name-with-space,20,-,20,-,85,14,manual_derived,14,"Same ""Repeater tone/tone squelch frequency settings"" strip, cell 3, rotated leaders ""1 Hz digit: 0-9"" and ""0.1 Hz digit: 0-9"".",Repeater tone 88.5 Hz chosen and encoded. Working in the .md.
set-record-name-with-space,21,-,21,-,00,15,manual_documented,14,"Same block ""Repeater tone/tone squelch frequency settings"": cell 1*, printed ""0 | 0"", both rotated leaders ""Fixed digit: 0*"". Reached from the memory-content cross-reference for indices 15 to 17.",Both nibbles printed as 0. STOP 1
set-record-name-with-space,22,-,22,-,10,16,manual_derived,14,"Same ""Repeater tone/tone squelch frequency settings"" strip, cell 2, rotated leaders ""100Hz digit: 0-2"" and ""10 Hz digit: 0-9"".",Tone squelch 100.0 Hz chosen and encoded. Working in the .md.
set-record-name-with-space,23,-,23,-,00,17,manual_derived,14,"Same ""Repeater tone/tone squelch frequency settings"" strip, cell 3, rotated leaders ""1 Hz digit: 0-9"" and ""0.1 Hz digit: 0-9"".",Tone squelch 100.0 Hz chosen and encoded. Working in the .md.
set-record-name-with-space,24,-,27,-,48 4F 4D 45,18 | 19 | 20 | 21,manual_derived,12,"Block ""Codes for character entries"" (""Command: 1A 00, 1A 05 ...""), table ""- Character codes - Letters and Numbers"", first data row: ""A-Z | 41-5A"".",Characters H O M E derived from the printed A-Z range. Working in the .md.
set-record-name-with-space,28,-,28,-,20,22,manual_derived,11 | 14,"pdf 11: block ""Codes for CW message contents"", right-hand character/ASCII pair of the table, row ""Space | 20"". pdf 14: block ""Memory keyer character entries"", table row ""space | 20 | Word space"".","The space character required by this vector; the p.12 code tables for 1A 00 print no space row, although the p.12 footnote lists (space) among the usable Memory name characters. Working in the .md."
set-record-name-with-space,29,-,31,-,51 54 48,23 | 24 | 25,manual_derived,12,"Block ""Codes for character entries"", table ""- Character codes - Letters and Numbers"", first data row: ""A-Z | 41-5A"".",Characters Q T H derived from the printed A-Z range. Working in the .md.
set-record-name-with-space,32,-,33,-,30 31,26 | 27,manual_derived,12,"Block ""Codes for character entries"", table ""- Character codes - Letters and Numbers"", second data row: ""0-9 | 30-39"".",Characters 0 and 1 derived from the printed 0-9 range. Working in the .md.
set-record-name-with-space,34,-,34,-,FD,-,structural,3,"Same ""Controller to IC-7610"" strip, last cell printed FD, index 7, rotated leader ""End of message code (Fixed)"".",End of message byte.
read-transceiver-id,1,-,2,-,FE FE,-,structural,3,"Section ""About the data format"", upper-left strip headed ""Controller to IC-7610"": its first two cells, both printed FE, bracketed as index 1 with the rotated leader ""Preamble code (Fixed)"" below.",Framing byte pair stated directly by the frame diagram.
read-transceiver-id,3,-,3,-,98,-,structural,3,"Same ""Controller to IC-7610"" strip, third cell printed 98, index 2, rotated leader ""Transceiver's default address"".",Transceiver default address.
read-transceiver-id,4,-,4,-,E0,-,structural,3,"Same ""Controller to IC-7610"" strip, fourth cell printed E0, index 3, rotated leader ""Controller's default address"".",Controller default address.
read-transceiver-id,5,-,6,-,19 00,-,manual_documented,5,"Section ""Command table"", right-hand table, the row ""Cmd. 19 | Sub cmd. 00 | Data (blank) | Read the transceiver ID"", printed immediately below the row ""18 | 01*4 | Turn ON the transceiver"".",Command and sub command printed as these exact bytes; the Data cell of that row is blank so no data bytes follow.
read-transceiver-id,7,-,7,-,FD,-,structural,3,"Same ""Controller to IC-7610"" strip, last cell printed FD, index 7, rotated leader ""End of message code (Fixed)"".",End of message byte.
manual-example-14,1,-,7,-,FE FE FE FE FE FE FE,-,manual_documented,10,"Right column, under footnote *4, the block headed ""Example: When using 4800 bps"": the leftmost, taller cell of the single-row strip, printed ""F | E"" in bold with ""x7"" set beneath it.","Printed as one bold FE cell carrying the multiplier x7; transcribed here as the seven bytes it denotes, matching the same page's bullet ""4800 bps: 7 'FE's""."
manual-example-14,8,-,9,-,FE FE,-,structural,10,"Same ""Example: When using 4800 bps"" strip: the four cells F, E, F, E under the column heading ""Preamble"".",Preamble byte pair as printed in the example.
manual-example-14,10,-,10,-,98,-,structural,10,"Same ""Example: When using 4800 bps"" strip: the two cells 9, 8 under the column heading ""7610's address"".",Transceiver address as printed in the example.
manual-example-14,11,-,11,-,E0,-,structural,10,"Same ""Example: When using 4800 bps"" strip: the two cells E, 0 under the column heading ""Controller's address"".",Controller address as printed in the example.
manual-example-14,12,-,12,-,18,-,manual_documented,10,"Same ""Example: When using 4800 bps"" strip: the two cells 1, 8 under the column heading ""Command"".",Command byte as printed in the example.
manual-example-14,13,-,13,-,01,-,manual_documented,10,"Same ""Example: When using 4800 bps"" strip: the two cells 0, 1 under the column heading ""Sub command"".",Sub command byte as printed in the example.
manual-example-14,14,-,14,-,FD,-,structural,10,"Same ""Example: When using 4800 bps"" strip: the two cells F, D under the column heading ""Post amble"".",End of message byte as printed in the example.
