vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
set-record-name-with-space,8,-,9,-,00 01,2 | 3,manual_derived,375,"PDF p.375 (folio 20-16), left column, legend entry '(2), (3) Memory channel number', first line '0001-0099: Memory channel 1 to 99'.",Memory channel 1 chosen; printed as '0001' for 'Memory channel 1'.
set-record-name-with-space,10,-,10,-,00,4,manual_derived,375,"PDF p.375 (folio 20-16), left column, legend '(4) Split and Select memory settings': the two-half box, left half leader to '0: Split OFF, 1: Split ON', right half leader to '0: Select memory OFF'.","Split OFF (left half 0) and Select memory OFF (right half 0), both chosen from the printed enums."
set-record-name-with-space,11,-,14,-,00 00 50 45,5 | 6 | 7 | 8,manual_derived,370,"PDF p.370 (folio 20-11), '. Operating frequency', the ten-half box: byte (1) halves labelled '10 Hz digit'/'1 Hz digit', byte (2) '1 kHz digit'/'100 Hz digit', byte (3) '100 kHz digit'/'10 kHz digit', byte (4) '10 MHz digit'/'1 MHz digit'.","145.500000 MHz chosen. Digits placed per the printed map: 10Hz=0,1Hz=0 -> 00; 1kHz=0,100Hz=0 -> 00; 100kHz=5,10kHz=0 -> 50; 10MHz=4,1MHz=5 -> 45."
set-record-name-with-space,15,1,15,1,01,9,manual_documented,370,"PDF p.370 (folio 20-11), '. Operating frequency', byte (5), left half printed '0', leader labelled '1000 MHz digit: 0 (Fixed)'.",High half of byte (5) is the printed fixed 0 for the 1000 MHz digit.
set-record-name-with-space,15,2,15,2,01,9,manual_derived,370,"PDF p.370 (folio 20-11), '. Operating frequency', byte (5), right half printed 'X', leader labelled '100 MHz digit: 0-4'.","Low half carries the 100 MHz digit; 145.5 MHz gives 1, inside the printed range 0-4."
set-record-name-with-space,16,-,17,-,05 01,10 | 11,manual_derived,370,"PDF p.370 (folio 20-11), '. Operating mode', the table below the two-cell box: left column '(1) Operating mode' row '05: FM'; right column '(2) Filter setting' row '01: FIL1'.",FM chosen ('05: FM') with filter FIL1 ('01: FIL1').
set-record-name-with-space,18,-,18,-,00,12,manual_derived,375,"PDF p.375 (folio 20-16), left column, legend '(12) Data mode setting', lines '1 byte data (XX)' / '00: Data mode OFF' / '01: Data mode ON'.",Data mode OFF chosen; printed as '00: Data mode OFF'.
set-record-name-with-space,19,-,19,-,00,13,manual_derived,375,"PDF p.375 (folio 20-16), left column, legend '(13) Duplex and Tone settings': two-half box, left half leader to '0: Duplex OFF / 1: Duplex-, 2: Duplex+', right half leader to '0: OFF, 1: Tone / 2: TSQL, 3: DTCS'.","Duplex OFF (left half 0) and tone OFF (right half 0), both chosen from the printed enums."
set-record-name-with-space,20,1,20,1,00,14,manual_derived,375,"PDF p.375 (folio 20-16), right column, legend '(14) Digital squelch setting': the box printed 'X  0', leader from the LEFT half to '0: Digital squelch function OFF / 1: ... (DSQL) / 2: ... (CSQL)'.","Digital squelch function OFF chosen; the enum sits in the LEFT half, per the leader."
set-record-name-with-space,20,2,20,2,00,14,manual_documented,375,"PDF p.375 (folio 20-16), right column, legend '(14) Digital squelch setting': the box's RIGHT half, printed as the literal digit '0' with no leader.",Right half is printed as the literal digit 0.
set-record-name-with-space,21,-,21,-,00,15,manual_documented,373,"PDF p.373 (folio 20-14), '. Repeater tone/tone squelch frequency setting' (Command: 1B 00, 1B 01), byte (1)*: both halves printed '0', leaders labelled '0 (fixed)' and '0 (fixed)'.",Both halves printed '0 (fixed)'.
set-record-name-with-space,22,-,23,-,08 85,16 | 17,manual_derived,373,"PDF p.373 (folio 20-14), '. Repeater tone/tone squelch frequency setting', byte (2) halves labelled '100 Hz digit'/'10 Hz digit' and byte (3) halves labelled '1 Hz digit'/'0.1 Hz digit'.","Repeater tone 88.5 Hz chosen: 100Hz=0,10Hz=8 -> 08; 1Hz=8,0.1Hz=5 -> 85."
set-record-name-with-space,24,-,24,-,00,18,manual_documented,373,"PDF p.373 (folio 20-14), '. Repeater tone/tone squelch frequency setting' (Command: 1B 00, 1B 01), byte (1)*: both halves printed '0', leaders labelled '0 (fixed)' and '0 (fixed)'.",Both halves printed '0 (fixed)'; the same three-byte layout serves 1B 01 (tone squelch).
set-record-name-with-space,25,-,26,-,08 85,19 | 20,manual_derived,373,"PDF p.373 (folio 20-14), '. Repeater tone/tone squelch frequency setting', byte (2) halves labelled '100 Hz digit'/'10 Hz digit' and byte (3) halves labelled '1 Hz digit'/'0.1 Hz digit'.","Tone squelch 88.5 Hz chosen, same digit map as the repeater tone."
set-record-name-with-space,27,-,27,-,00,21,manual_derived,373,"PDF p.373 (folio 20-14), '. DTCS code and polarity setting' (Command: 1B 02), byte (1): left half leader to 'Transmit polarity: 0: Normal 1: Reverse', right half leader to 'Receive polarity: 0: Normal 1: Reverse'.","Transmit polarity Normal (0) and receive polarity Normal (0), both chosen from the printed enums."
set-record-name-with-space,28,1,28,1,00,22,manual_documented,373,"PDF p.373 (folio 20-14), '. DTCS code and polarity setting', byte (2) LEFT half, printed '0', leader labelled '0 (fixed)'.",Left half printed '0 (fixed)'.
set-record-name-with-space,28,2,28,2,00,22,manual_derived,373,"PDF p.373 (folio 20-14), '. DTCS code and polarity setting', byte (2) RIGHT half, leader labelled 'First digit: 0-7'.","DTCS code 023 chosen; first digit 0, inside the printed range 0-7."
set-record-name-with-space,29,-,29,-,23,23,manual_derived,373,"PDF p.373 (folio 20-14), '. DTCS code and polarity setting', byte (3): left half leader 'Second digit: 0-7', right half leader 'Third digit: 0-7'.","Second digit 2 and third digit 3 of DTCS code 023, both inside the printed range 0-7."
set-record-name-with-space,30,-,30,-,00,24,manual_derived,373,"PDF p.373 (folio 20-14), '. Digital code squelch setting' (Command: 1B 07), the single box (1): left half leader to 'First digit: 0-9', right half leader to 'Second digit: 0-9'.","Digital code squelch code 00 chosen; first digit 0, second digit 0."
set-record-name-with-space,31,-,32,-,00 60,25 | 26,manual_derived,372,"PDF p.372 (folio 20-13), '. Duplex Offset frequency setting' (Command: 1A 05 0018), byte (1) halves labelled '1 kHz digit: 0-9'/'100 Hz digit: 0-9', byte (2) halves labelled '100 kHz digit: 0-9'/'10 kHz digit: 0-9'.","Duplex offset 0.600000 MHz chosen: 1kHz=0,100Hz=0 -> 00; 100kHz=6,10kHz=0 -> 60."
set-record-name-with-space,33,1,33,1,00,27,manual_documented,372,"PDF p.372 (folio 20-13), '. Duplex Offset frequency setting', byte (3) LEFT half, printed '0', leader labelled '10 MHz digit: 0 (fixed)'.",Left half printed '10 MHz digit: 0 (fixed)'.
set-record-name-with-space,33,2,33,2,00,27,manual_derived,372,"PDF p.372 (folio 20-13), '. Duplex Offset frequency setting', byte (3) RIGHT half, leader labelled '1 MHz digit: 0-9'.",1 MHz digit is 0 for a 0.600000 MHz offset.
set-record-name-with-space,34,-,41,-,43 51 43 51 43 51 20 20,28 | 29 | 30 | 31 | 32 | 33 | 34 | 35,manual_derived,375,"PDF p.375 (folio 20-16), right column, legend '(28)-(35) Destination call sign setting (8 characters; fixed)'; character values from PDF p.373 (folio 20-14), '. DV TX call signs setting', table '. Character's code of the call sign' rows 'A-Z 41-5A' and 'Space 20'.",Destination call sign 'CQCQCQ' padded to the fixed 8 characters with two spaces. C = 41 + 2 = 43; Q = 41 + 16 = 51; space = 20.
set-record-name-with-space,42,-,49,-,20 20 20 20 20 20 20 20,36 | 37 | 38 | 39 | 40 | 41 | 42 | 43,manual_derived,375,"PDF p.375 (folio 20-16), right column, legend '(36)-(43) R1 (Access repeater) call sign setting (8 characters; fixed)'; 'Space 20' from the call-sign character table on PDF p.373 (folio 20-14).","R1 call sign left blank: eight spaces, each 20, filling the fixed 8-character field."
set-record-name-with-space,50,-,57,-,20 20 20 20 20 20 20 20,44 | 45 | 46 | 47 | 48 | 49 | 50 | 51,manual_derived,375,"PDF p.375 (folio 20-16), right column, legend '(44)-(51) R2 (Gateway/Link repeater) call sign setting (8 characters; fixed)'; 'Space 20' from the call-sign character table on PDF p.373 (folio 20-14).","R2 call sign left blank: eight spaces, each 20, filling the fixed 8-character field."
set-record-name-with-space,58,-,62,-,00 00 50 45 01,5f | 6f | 7f | 8f | 9f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.","Transmit-block copy of frame bytes 11-15 (operating frequency), per the printed NOTE. STOP 2"
set-record-name-with-space,63,-,64,-,05 01,10f | 11f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.",Transmit-block copy of frame bytes 16-17 (operating mode and filter). STOP 2
set-record-name-with-space,65,-,67,-,00 00 00,12f | 13f | 14f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.","Transmit-block copy of frame bytes 18-20 (data mode, duplex and tone, digital squelch). STOP 2"
set-record-name-with-space,68,-,70,-,00 08 85,15f | 16f | 17f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.",Transmit-block copy of frame bytes 21-23 (repeater tone frequency). STOP 2
set-record-name-with-space,71,-,73,-,00 08 85,18f | 19f | 20f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.",Transmit-block copy of frame bytes 24-26 (tone squelch frequency). STOP 2
set-record-name-with-space,74,-,76,-,00 00 23,21f | 22f | 23f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.",Transmit-block copy of frame bytes 27-29 (DTCS code and polarity). STOP 2
set-record-name-with-space,77,-,77,-,00,24f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.",Transmit-block copy of frame byte 30 (digital code squelch). STOP 2
set-record-name-with-space,78,-,80,-,00 60 00,25f | 26f | 27f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.",Transmit-block copy of frame bytes 31-33 (duplex offset frequency). STOP 2
set-record-name-with-space,81,-,88,-,43 51 43 51 43 51 20 20,28f | 29f | 30f | 31f | 32f | 33f | 34f | 35f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.",Transmit-block copy of frame bytes 34-41 (destination call sign). STOP 2
set-record-name-with-space,89,-,96,-,20 20 20 20 20 20 20 20,36f | 37f | 38f | 39f | 40f | 41f | 42f | 43f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.",Transmit-block copy of frame bytes 42-49 (R1 call sign). STOP 2
set-record-name-with-space,97,-,104,-,20 20 20 20 20 20 20 20,44f | 45f | 46f | 47f | 48f | 49f | 50f | 51f,manual_derived,375,"PDF p.375 (folio 20-16), right column, hatched NOTE block, first bullet: 'The same data as (5)-(51) are stored in [filled 5]-[filled 51].'; the filled/reversed index pair is drawn on the second bar row between the '(44)~(51)' group and the '(52)~(60)' group.",Transmit-block copy of frame bytes 50-57 (R2 call sign). STOP 2
set-record-name-with-space,105,-,120,-,48 4F 4D 45 20 42 41 53 45 20 20 20 20 20 20 20,52 | 53 | 54 | 55 | 56 | 57 | 58 | 59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67,manual_documented,375,"PDF p.375 (folio 20-16), right column, legend '(52)-(67) Memory name setting / 16 characters (Fixed) / See '. Character code setting.' (p. 20-12)'; character values from the table on PDF p.371 (folio 20-12) rows 'A-Z 41-5A' and 'Space 20'.","Memory name 'HOME BASE' with the space at character 5, padded to the fixed 16 with seven trailing spaces. H=41+7=48, O=41+14=4F, M=41+12=4D, E=41+4=45, space=20, B=41+1=42, A=41, S=41+18=53, E=45. Built at the body text's 16-character width because the diagram bar prints a different range for this same field. Marked manual_documented because the leg's STOP-on-conflict rule requires that status for a run built from the clearer of two conflicting printed statements; the run's EXTENT is printed, its byte VALUES are chosen by me from the printed character table. STOP 1"
set-record-name-with-space,121,-,121,-,FD,-,structural,361,"PDF p.361 (folio 20-2), 'Controller to IC-7100' frame: rightmost cell (7), printed 'FD', leader labelled 'End of message code (fixed)'.",End of message code (fixed).
read-transceiver-id,1,-,2,-,FE FE,-,structural,361,"PDF p.361 (folio 20-2), 'Data format', upper frame headed 'Controller to IC-7100': cell (1), the two leftmost cells reading 'FE' 'FE'.",Preamble code (fixed).
read-transceiver-id,3,-,3,-,88,-,structural,361,"PDF p.361 (folio 20-2), 'Controller to IC-7100' frame: cell (2), printed '88', its vertical leader labelled 'Transceiver's default address'.",Transceiver's default address.
read-transceiver-id,4,-,4,-,E0,-,structural,361,"PDF p.361 (folio 20-2), 'Controller to IC-7100' frame: cell (3), printed 'E0', its vertical leader labelled 'Controller's default address'.",Controller's default address.
read-transceiver-id,5,-,5,-,19,-,manual_documented,364,"PDF p.364 (folio 20-5), 'Command table (Continued)', left half, first row: Cmd. '19', Sub cmd. '00', Data column empty, Description 'Read the transceiver ID'.","Command number, printed as '19'."
read-transceiver-id,6,-,6,-,00,-,manual_documented,364,"PDF p.364 (folio 20-5), 'Command table (Continued)', left half, first row: Cmd. '19', Sub cmd. '00', Data column empty, Description 'Read the transceiver ID'.","Sub command number, printed as '00'. The row's Data column is empty, so no data area follows."
read-transceiver-id,7,-,7,-,FD,-,structural,361,"PDF p.361 (folio 20-2), 'Controller to IC-7100' frame: rightmost cell (7), printed 'FD', leader labelled 'End of message code (fixed)'.",End of message code (fixed).
manual-example-1,1,-,7,-,FE FE FE FE FE FE FE,-,manual_documented,363,"PDF p.363 (folio 20-4), right column, 'Example: When operating with 4800 bps': the bold-ruled leftmost box printed 'F E' with 'x 7' beneath it; count from footnote *2 above it, '. 4800 bps: 7,'.",The seven leading 'FE' bytes the example draws as one bold box marked 'x 7'; footnote *2 gives '4800 bps: 7'.
manual-example-1,8,-,9,-,FE FE,-,manual_documented,363,"PDF p.363 (folio 20-4), 'Example: When operating with 4800 bps' box, the cell under index (1) printed 'F E F E'; legend below reads '(1) Preamble code (fixed)'.",Preamble code (fixed).
manual-example-1,10,-,10,-,88,-,manual_documented,363,"PDF p.363 (folio 20-4), 'Example: When operating with 4800 bps' box, the cell under index (2) printed '8 8'; legend '(2) Transceiver's default address'.",Transceiver's default address.
manual-example-1,11,-,11,-,E0,-,manual_documented,363,"PDF p.363 (folio 20-4), 'Example: When operating with 4800 bps' box, the cell under index (3), printed 'E' then a wide round capital-O glyph; legend '(3) Controller's default address'.","Printed here as 'E' followed by a wide round capital-O glyph, against 'E0' on folio 20-2; built from the clearer folio 20-2 reading. STOP 3"
manual-example-1,12,-,12,-,18,-,manual_documented,363,"PDF p.363 (folio 20-4), 'Example: When operating with 4800 bps' box, the cell under index (4) printed '1 8'; legend '(4) Command number'.",Command number 18 (power).
manual-example-1,13,-,13,-,01,-,manual_documented,363,"PDF p.363 (folio 20-4), 'Example: When operating with 4800 bps' box, the cell under index (5) printed '0 1'; legend '(5) Sub command number'.",Sub command number 01; the command table gives '18 01 Turn ON the transceiver'.
manual-example-1,14,-,14,-,FD,-,manual_documented,363,"PDF p.363 (folio 20-4), 'Example: When operating with 4800 bps' box, the rightmost cell under index (7) printed 'F D'; legend '(7) End of message code (fixed)'.",End of message code (fixed). The example's index sequence runs (1)(2)(3)(4)(5)(7); (6) is absent. STOP 4
